Speaker A,     What time will I be gone?                                                                                                                                                                                                                                                                                                                                                                                                                                         
Speaker C,"     04:00 the time. So I collect it more have lunch this after. Yeah, I put one then after.                                                                                                                                                                                                                                                                                                                                                                           "
Speaker A,     The afternoon. Very much we love pressure garbage.                                                                                                                                                                                                                                                                                                                                                                                                                
Speaker C,"     Yeah. I just want to say about the car protect them. Good beaking, very good.                                                                                                                                                                                                                                                                                                                                                                                     "
Speaker A,     Legs and your lefty trip under.                                                                                                                                                                                                                                                                                                                                                                                                                                   
Speaker B,"     I'm quite surprised, quite shocked yes. To be to be honest I think there's some kind of misunderstanding yes. In terms of what the sessions are about there's no expected yes. These are not rehabilitation.                                                                                                                                                                                                                                                      "
Speaker C,     No expectations. No.                                                                                                                                                                                                                                                                                                                                                                                                                                              
Speaker B,     I wouldn't be able to sign this. I would not be able to sign it. Most certainly would not be able to disclose there will be a breach.                                                                                                                                                                                                                                                                                                                             
Speaker A,     Yes.                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Speaker C,"     Here is my time consent. All I want to know, if you think it's doing good for my son I think you would then I will continue. But just I'm his dad. I'm on my own, living on my own.                                                                                                                                                                                                                                                                               "
Speaker C,     And I mind this guy every weekend and will it help him to continue? Adding to my that's my point.                                                                                                                                                                                                                                                                                                                                                                 
Speaker B,     I'm not sure whether I can answer that. Okay. I mean I was approached by Vista to consider the possibility of you coming into therapy.                                                                                                                                                                                                                                                                                                                            
Speaker C,     Yes.                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Speaker B,"     The therapy is is a space yeah. For you to to explore yes. You know, his his own yes. Inner experience.                                                                                                                                                                                                                                                                                                                                                           "
Speaker C,     Yes. Okay. But here's the part from living with my son. He has to be led.                                                                                                                                                                                                                                                                                                                                                                                         
Speaker C,     That's the point. That's what I feel.                                                                                                                                                                                                                                                                                                                                                                                                                             
Speaker B,     Yeah. But not in this process.                                                                                                                                                                                                                                                                                                                                                                                                                                    
Speaker C,     Okay.                                                                                                                                                                                                                                                                                                                                                                                                                                                             
Speaker B,     I don't have a plan for him.                                                                                                                                                                                                                                                                                                                                                                                                                                      
Speaker A,     Yes.                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Speaker B,     There is no plan.                                                                                                                                                                                                                                                                                                                                                                                                                                                 
Speaker C,     Yes.                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Speaker B,     That's just the way therapy I did.                                                                                                                                                                                                                                                                                                                                                                                                                                
Speaker C,     Not as soon as my ignorance.                                                                                                                                                                                                                                                                                                                                                                                                                                      
Speaker B,"     Yeah. I feel like I've said enough already and I really feel that this is an intrusion into well, I think into therapy. I have an obligation as Hughes therapist to protect his space and to protect confidentiality.                                                                                                                                                                                                                                             "
Speaker A,     Yes.                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Speaker C,     Okay.                                                                                                                                                                                                                                                                                                                                                                                                                                                             
Speaker B,     I would urge you to talk to this raft about this further book. But this really is an arrangement between you and myself.                                                                                                                                                                                                                                                                                                                                          
Speaker C,     Yes.                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Speaker B,     It has been organized by this raft. Okay. I really don't feel that I can ethically or professionally.                                                                                                                                                                                                                                                                                                                                                             
Speaker C,     If I've overstepped my Irish positive.                                                                                                                                                                                                                                                                                                                                                                                                                            
Speaker B,"     My major concern Michael, I don't want there to be any acrimony or animosity around this, but my major concern is that you may have a misperception or you may be misinformed about the function.                                                                                                                                                                                                                                                                 "
Speaker C,"     And the purpose of abi that. Never talked about it. They didn't. I had no guidance whatsoever, so I apologize.                                                                                                                                                                                                                                                                                                                                                    "
Speaker C,"     No guidance. And I'm only the dad, and I get unrelevant, and I missed my weekend if he didn't come home. And I tried to help it in lots of ways, and in seven years, nothing has changed, and it's hard to keep.                                                                                                                                                                                                                                                  "
Speaker C,"     And when he gets up in the morning, the routines, you might glean something from that. And then I wanted to share the moment when he gets up. If the routines weren't there, you'd be upset and confused.                                                                                                                                                                                                                                                         "
Speaker C,"     It's really good. And he does like coming in here, but the main thing is going for lunch after that kind of soap, and I never asked you for that. And the pizza and I had no guidance from I wouldn't blame so just me as a badass.                                                                                                                                                                                                                               "
Speaker C,"     I'm there, and they will facilitate and they sold a steve to me. Well, if it's only going through the journey, I just want it, but there's nobody else. I need someone to talk to me, so I appreciate that.                                                                                                                                                                                                                                                       "
Speaker C,"     I'm not worried about that school. I really, really like that. In fact, if anybody comes to my house and ignores me and talks to you, just looks I really at least and there was one girl was Annie Gar, was really, really good and never spoke badly to you and listened and was very calm and really good.                                                                                                                                                     "
Speaker A,     Strange.                                                                                                                                                                                                                                                                                                                                                                                                                                                          
Speaker C,     So I like the very few people that come and talk. So that's good. So I leave now. I won't.                                                                                                                                                                                                                                                                                                                                                                        
Speaker B,"     It might be helpful. I mean, just from from this, like, really have a sense that you are worried and you're concerned and that you seem to have I think it might be based on your previous experience of psychological interventions in rehabilitation. And they are very much informed by the cognitive approach towards rehabilitation, and they're very fixed in terms of observable measurable elements. They identify deficits within views, cognitive repertoire and then put in plans and"
,
Speaker B,"     The effects, if you like, may not be obvious and may not be obvious straight away. So it's a very different approach. I'm only saying this by by way of maybe, you know, just inform you of the of the differences.                                                                                                                                                                                                                                               "
Speaker A,     Yeah.                                                                                                                                                                                                                                                                                                                                                                                                                                                             
Speaker B,"     I think your your expectations, your understanding may be based on your previous experiences with different approaches. This is psychotherapy.                                                                                                                                                                                                                                                                                                                    "
Speaker C,"     It's a very, very different yes. Again, I thank you, and I apologize for overstepping the mark and but I.                                                                                                                                                                                                                                                                                                                                                         "
Speaker B,"     Don'T I don't take it like that. I'd be really keen for you not to have an unfavorable opinion of what happens here. What happens here. And this kind of work that you does is equally, if not more important than his cognitive rehabilitation.                                                                                                                                                                                                                  "
Speaker C,     But that would actually contain amongst.                                                                                                                                                                                                                                                                                                                                                                                                                          
Speaker B,     I'm just thinking about what's in what's in the letter and it really does seem to me as if it's coming from a place of not ignorance but of just not knowing and of a fear of the unknown in the sense of what.                                                                                                                                                                                                                                                   
Speaker C,     No one else can address that. And I appreciate and that is sufficient. That's all I want my calculation done so he can't get that. He can't get it unless he comes here and that's unclean.                                                                                                                                                                                                                                                                       
Speaker C,"     I go home saying, well, that's good. Yes. Okay.                                                                                                                                                                                                                                                                                                                                                                                                                   "
Speaker C,"     So occasionally is what I felt myself because that's my situation, and Abi respectfully said, we continue. So I'd like to continue.                                                                                                                                                                                                                                                                                                                               "
Speaker B,"     This conversation really has to include him. Yes. Continually. We talk about this about how long we've been working together, and part of what I do is I would remind you frequently about the nature of the therapy and about working together.                                                                                                                                                                                                                  "
Speaker B,     It's up to him.                                                                                                                                                                                                                                                                                                                                                                                                                                                   
Speaker C,"     We can make him up. So he was that okay. I know you can of your hand, and he's part of the great man.                                                                                                                                                                                                                                                                                                                                                             "
Speaker B,     Right.                                                                                                                                                                                                                                                                                                                                                                                                                                                            
Speaker C,"     I need now and then I text myself, and so I thank you for the time. Sorry for interrupting, but I don't have to that's okay.                                                                                                                                                                                                                                                                                                                                      "
Speaker B,     I'm just trying to think that there's about this we did talk before about maybe yourself and being supported and all of that. It might be helpful for us to think about that.                                                                                                                                                                                                                                                                                     
Speaker C,     Yes.                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Speaker B,     Because I think you clearly are you're finding it difficult at times.                                                                                                                                                                                                                                                                                                                                                                                             
Speaker C,     I did this session because I stopped and your colleagues have come back and see me again. And I did ask I was in these sessions. I don't know that three I went for. Then I went to a five or six and then took a break.                                                                                                                                                                                                                                          
Speaker C,     And my understanding she was to contact me again. She gave me a bit of space.                                                                                                                                                                                                                                                                                                                                                                                     
Speaker B,     Okay.                                                                                                                                                                                                                                                                                                                                                                                                                                                             
Speaker C,"     Yeah. But for what it's worth, I'm a happier man in myself, and I spend a living, and I've accepted a lot. Accepted a lot. And I'm there for a few and so forth, and whatever's good for him, I'll go for that.                                                                                                                                                                                                                                                   "
Speaker C,"     Okay. So I accept when he comes home, he's very welcome, and I'd like him to come home more if he could, but I don't think he's ready enough for that.                                                                                                                                                                                                                                                                                                            "
Speaker B,     Yes.                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Speaker C,     That's what I feel.                                                                                                                                                                                                                                                                                                                                                                                                                                               
Speaker B,"     I'm just thinking now about clearly there is maybe a need for us to maybe have some kind of forum where we can we can leave if you need to, you know you know, and address concerns. Because I'm I'm just worried about, you know, about this in in the sense of your you know, your your opinion and, you know, what you what you think is going on, but there's a sense that you think it's not helpful for you.                                                "
Speaker C,"     Steve was put in hand, but you said it's an emotional thing. You might not see the effects and it's good. And we talk about whatever you talk about. It's good and it's long term.                                                                                                                                                                                                                                                                                "
